Test Image,Best Match,Match Percentage,MatchPercentage Class,Confidence Score,Threshold
188.JPG,j.JPG,0.08473199526337805,j.JPG,40.31430112939604,0.2
157.jpg,tt.JPG,0.4950024791727766,tt.JPG,40.31377569242904,0.2
36.jpg,z.jpg,0.25612672648882007,z.jpg,40.3109626259452,0.2
201.JPG,tt.JPG,0.013710428710254852,tt.JPG,40.310598107337164,0.2
203.JPG,ww.JPG,0.8613591793705384,ww.JPG,40.309778574815915,0.2
66.jpg,cc.JPG,0.7470814633431421,cc.JPG,40.30410463072974,0.2
237.JPG,t.jpg,0.7033510621128188,t.jpg,40.31244319619175,0.2
42.JPG,cc.JPG,0.8036301676472233,cc.JPG,40.311670668165576,0.2
192.JPG,e.jpg,0.8415261117911497,e.jpg,40.31055225847253,0.2
131.jpg,tt.JPG,0.7516631503882278,tt.JPG,40.31014778122259,0.2
218.JPG,l.JPG,0.1663670813076843,l.JPG,40.30763761673389,0.2
166.jpg,e.jpg,0.9373082558075877,e.jpg,40.311539444283184,0.2
246.JPG,cc.JPG,0.3251383545014539,cc.JPG,40.31307420078546,0.2
252.JPG,cc.JPG,0.777258370544502,cc.JPG,40.31138325159798,0.2
281.jpg,z.jpg,0.6476592415083631,z.jpg,40.30824123828238,0.2
57.JPG,hh.JPG,0.6814752983165623,hh.JPG,40.30177720940854,0.2
240.JPG,ww.JPG,0.13553256600617247,ww.JPG,40.30886103203275,0.2
60.jpg,z.jpg,0.4479216708386762,z.jpg,40.31291999796432,0.2
2.JPG,tt.JPG,0.21121130478923977,tt.JPG,40.314479491614996,0.2
12.jpg,f.jpg,0.7942953705664522,f.jpg,40.31190124347354,0.2
190.JPG,cc.JPG,0.10363270563084881,cc.JPG,40.32483182730711,0.2
200.JPG,ww.JPG,0.9205360475904257,ww.JPG,40.311221378353565,0.2
150.jpg,tt.JPG,0.18884637551749917,tt.JPG,40.31555156291018,0.2
272.JPG,tt.JPG,0.17611949428783036,tt.JPG,40.30692261142185,0.2
98.jpg,ee.JPG,0.8925209027891812,ee.JPG,40.3055967668483,0.2
20.jpg,tt.JPG,0.5904971106558774,tt.JPG,40.31476724756774,0.2
293.JPG,l.JPG,0.312927232996703,l.JPG,40.30777239746188,0.2
265.JPG,ss.JPG,0.8798857961162674,ss.JPG,40.30736030082354,0.2
194.JPG,z.jpg,0.2514576874442679,z.jpg,40.31155652950705,0.2
70.jpg,tt.JPG,0.5330815573470039,tt.JPG,40.31077881311166,0.2
32.jpg,u.jpg,0.4788703666831592,u.jpg,40.3150343190961,0.2
138.jpg,z.jpg,0.4684591472410905,z.jpg,40.310965719904644,0.2
103.jpg,e.jpg,0.6005735381431974,e.jpg,40.31297076248244,0.2
58.jpg,z.jpg,0.8717106060291626,z.jpg,40.30614873366396,0.2
205.JPG,tt.JPG,0.39470468216494536,tt.JPG,40.314336234533776,0.2
228.JPG,tt.JPG,0.528863603181077,tt.JPG,40.30721195384379,0.2
46.JPG,z.jpg,0.31161546911054705,z.jpg,40.31385030881534,0.2
33.jpg,e.jpg,0.2209757156814982,e.jpg,40.313603758333954,0.2
91.jpg,tt.JPG,0.22197585289306265,tt.JPG,40.308647647625094,0.2
25.jpg,tt.JPG,0.9971621409692053,tt.JPG,40.31073360723973,0.2
211.JPG,yy.jpeg,0.7809899557909689,yy.jpeg,40.31344320004665,0.2
48.JPG,z.jpg,0.13297699674247543,z.jpg,40.31472889709724,0.2
74.jpg,u.jpg,0.7465933280005647,u.jpg,40.31407701037473,0.2
180.JPG,ww.JPG,0.8790435248303041,ww.JPG,40.312781078372154,0.2
108.jpg,tt.JPG,0.8875555152994391,tt.JPG,40.31546359840901,0.2
84.jpg,hh.JPG,0.7265754358846503,hh.JPG,40.30625778586188,0.2
243.JPG,w.jpg,0.07735283940680626,w.jpg,40.30861861091856,0.2
40.jpg,b.jpg,0.2339180220283501,b.jpg,40.30779016667147,0.2
61.jpg,hh.JPG,0.5085112526532716,hh.JPG,40.30899171555983,0.2
266.JPG,tt.JPG,0.4425341153900826,tt.JPG,40.30951715789431,0.2
44.JPG,tt.JPG,0.37473331189433245,tt.JPG,40.31313781539898,0.2
311.JPG,z.jpg,0.5989403000803841,z.jpg,40.30787588924107,0.2
1.JPG,u.jpg,0.17948146857209168,u.jpg,40.30967711449973,0.2
8.jpg,k.JPG,0.9378864566650024,k.JPG,40.30938965880296,0.2
105.jpg,q.jpg,0.23468176832795307,q.jpg,40.30052698140408,0.2
135.jpg,tt.JPG,0.7356284245930579,tt.JPG,40.31557015521612,0.2
303.JPG,ii.JPG,0.9709180201189591,ii.JPG,40.310499225877145,0.2
94.jpg,ww.JPG,0.571075184826587,ww.JPG,40.31172287728009,0.2
247.JPG,z.jpg,0.6533353183413309,z.jpg,40.31305123134929,0.2
146.jpg,tt.JPG,0.4638719192945959,tt.JPG,40.318356253828576,0.2
225.JPG,o.jpg,0.021649637635109964,o.jpg,40.31065605464862,0.2
133.jpg,ww.JPG,0.5243479074338342,ww.JPG,40.30533160205366,0.2
100.jpg,z.jpg,0.5419514831618993,z.jpg,40.30707952041644,0.2
297.JPG,z.jpg,0.042104909614198105,z.jpg,40.313185660706424,0.2
257.JPG,tt.JPG,0.32165371477663285,tt.JPG,40.3113311186097,0.2
11.jpg,k.JPG,0.980580680694735,k.JPG,40.30231068414948,0.2
27.jpg,tt.JPG,0.8581910865676469,tt.JPG,40.3147419684896,0.2
71.jpg,cc.JPG,0.5395290671240375,cc.JPG,40.2999296141402,0.2
264.JPG,ww.JPG,0.8012775570948399,ww.JPG,40.308648900158964,0.2
7.jpg,ww.JPG,0.1485661509048829,ww.JPG,40.310327884129535,0.2
308.JPG,tt.JPG,0.6430965571522049,tt.JPG,40.312528376028595,0.2
134.jpg,e.jpg,0.8717593583533811,e.jpg,40.31047157296262,0.2
289.JPG,tt.JPG,0.7971275159587068,tt.JPG,40.307569463383004,0.2
187.JPG,tt.JPG,0.7029182344148796,tt.JPG,40.308743916678075,0.2
301.JPG,k.JPG,0.3850354560194722,k.JPG,40.3077220742599,0.2
15.jpg,tt.JPG,0.7273559289453623,tt.JPG,40.30948854846494,0.2
115.jpg,u.jpg,0.9792998304684458,u.jpg,40.31148921406503,0.2
126.jpg,z.jpg,0.19170783084909915,z.jpg,40.310069610753565,0.2
249.JPG,e.jpg,0.7319198655016503,e.jpg,40.31225119522748,0.2
210.JPG,yy.jpeg,0.6426987637113275,yy.jpeg,40.31728699201782,0.2
110.jpg,z.jpg,0.22350861629190566,z.jpg,40.31683146712568,0.2
222.JPG,tt.JPG,0.06331424821222975,tt.JPG,40.30923166959936,0.2
97.jpg,tt.JPG,0.5479332897472616,tt.JPG,40.315777865383595,0.2
220.JPG,cc.JPG,0.15175962898377826,cc.JPG,40.30618746738896,0.2
269.JPG,hh.JPG,0.8328373681702759,hh.JPG,40.30595359529804,0.2
172.jpg,q.jpg,0.241971764079708,q.jpg,40.311072329968304,0.2
23.jpg,t.jpg,0.060768279936261105,t.jpg,40.30763871117914,0.2
24.jpg,t.jpg,0.28430266434084306,t.jpg,40.30931417071267,0.2
75.jpg,z.jpg,0.07065591187992715,z.jpg,40.31312128273734,0.2
168.jpg,tt.JPG,0.8880727635825745,tt.JPG,40.31084143886106,0.2
161.jpg,z.jpg,0.7962789738288547,z.jpg,40.30872171445464,0.2
232.JPG,tt.JPG,0.2556312371596643,tt.JPG,40.31073133893569,0.2
101.jpg,tt.JPG,0.47437911517428366,tt.JPG,40.31351630356061,0.2
35.jpg,e.jpg,0.2056959116787067,e.jpg,40.31217446200159,0.2
13.jpg,tt.JPG,0.802627602374794,tt.JPG,40.31109375030348,0.2
82.jpg,tt.JPG,0.7073963759080347,tt.JPG,40.313363885258966,0.2
52.JPG,k.JPG,0.5484912460225755,k.JPG,40.30458786653445,0.2
262.JPG,cc.JPG,0.08656318127258078,cc.JPG,40.31202502337703,0.2
178.JPG,z.jpg,0.19787915946232815,z.jpg,40.31487203789646,0.2
141.jpg,tt.JPG,0.5267378158598867,tt.JPG,40.3096672645359,0.2
18.jpg,tt.JPG,0.1825179210617972,tt.JPG,40.31232050725073,0.2
149.jpg,tt.JPG,0.4082538266183162,tt.JPG,40.316261243278355,0.2
176.jpg,tt.JPG,0.9625970735098622,tt.JPG,40.30832283649008,0.2
239.JPG,tt.JPG,0.22581781745459784,tt.JPG,40.30996183367505,0.2
278.jpg,w.jpg,0.4761474907381461,w.jpg,40.308182407257505,0.2
116.jpg,z.jpg,0.9717689523581078,z.jpg,40.317047267829054,0.2
267.JPG,cc.JPG,0.4465280933863359,cc.JPG,40.31080226043168,0.2
155.jpg,z.jpg,0.46720766276395265,z.jpg,40.31511601409917,0.2
171.jpg,z.jpg,0.4913472889566233,z.jpg,40.31191713897112,0.2
165.jpg,z.jpg,0.34468430164256925,z.jpg,40.31214237107758,0.2
305.JPG,cc.JPG,0.22152418811103924,cc.JPG,40.31015385135586,0.2
175.jpg,tt.JPG,0.43015009593476683,tt.JPG,40.311256650891394,0.2
195.JPG,tt.JPG,0.5139712630489907,tt.JPG,40.31499093579807,0.2
73.jpg,tt.JPG,0.9679444913198015,tt.JPG,40.310020531210384,0.2
9.jpg,b.jpg,0.3969568857454546,b.jpg,40.30928987874317,0.2
29.jpg,tt.JPG,0.35961620337559386,tt.JPG,40.310899350832635,0.2
130.jpg,z.jpg,0.4900511032431807,z.jpg,40.313292776390874,0.2
296.JPG,tt.JPG,0.04107545801877177,tt.JPG,40.311246549633466,0.2
28.jpg,tt.JPG,0.555159058811051,tt.JPG,40.310560108182784,0.2
164.jpg,cc.JPG,0.023878649742843705,cc.JPG,40.305036673622325,0.2
163.jpg,tt.JPG,0.4812067800908695,tt.JPG,40.311925463981616,0.2
259.JPG,q.jpg,0.2751802342840086,q.jpg,40.3083322124638,0.2
118.jpg,z.jpg,0.04086331314856073,z.jpg,40.3094653535116,0.2
76.jpg,m.jpg,0.279414000992252,m.jpg,40.31345459953834,0.2
14.jpg,cc.JPG,0.17466266187445112,cc.JPG,40.30468296099948,0.2
49.JPG,k.JPG,0.7378974511861917,k.JPG,40.30730494863824,0.2
304.JPG,e.jpg,0.1152730497940394,e.jpg,40.30080656473851,0.2
276.JPG,z.jpg,0.7982388216610466,z.jpg,40.311673051744194,0.2
170.jpg,z.jpg,0.5151001784634149,z.jpg,40.3121331229838,0.2
162.jpg,z.jpg,0.3652527944782916,z.jpg,40.31111857801526,0.2
287.JPG,tt.JPG,0.3811157538877241,tt.JPG,40.313301679981365,0.2
145.jpg,u.jpg,0.15430516321032184,u.jpg,40.31196489685361,0.2
142.jpg,z.jpg,0.3210064827338692,z.jpg,40.31257030698329,0.2
199.JPG,z.jpg,0.17188200693493283,z.jpg,40.3132584903364,0.2
202.JPG,tt.JPG,0.5254594774510156,tt.JPG,40.31833977694205,0.2
129.jpg,z.jpg,0.7783270207448681,z.jpg,40.30919488545744,0.2
295.JPG,z.jpg,0.7502268510073663,z.jpg,40.31520629545346,0.2
227.JPG,j.JPG,0.49634052150387176,j.JPG,40.313456648614896,0.2
184.JPG,z.jpg,0.6496861427846723,z.jpg,40.31634780452634,0.2
234.JPG,tt.JPG,0.5440798860524441,tt.JPG,40.309337491659335,0.2
119.jpg,m.jpg,0.4095104707649704,m.jpg,40.30973641282409,0.2
5.JPG,ee.JPG,0.6121458439452139,ee.JPG,40.309219733311124,0.2
191.JPG,tt.JPG,0.4600680598511576,tt.JPG,40.30053203951252,0.2
89.jpg,z.jpg,0.02116970927673223,z.jpg,40.302531193923436,0.2
30.jpg,tt.JPG,0.9816959053653842,tt.JPG,40.31365851074413,0.2
156.jpg,hh.JPG,0.3570078163582424,hh.JPG,40.31143285130311,0.2
299.JPG,ww.JPG,0.31381332790630356,ww.JPG,40.31112544718415,0.2
95.jpg,cc.JPG,0.49967077104362745,cc.JPG,40.31370357787581,0.2
214.JPG,hh.JPG,0.33264976607458074,hh.JPG,40.31314283269548,0.2
283.JPG,tt.JPG,0.869045583570403,tt.JPG,40.31653241416935,0.2
87.jpg,x.jpg,0.567962643484371,x.jpg,40.30341590849726,0.2
160.jpg,u.jpg,0.39814550837365836,u.jpg,40.3140943190777,0.2
104.jpg,hh.JPG,0.1341087561419514,hh.JPG,40.30927658198313,0.2
229.JPG,cc.JPG,0.18224690884137718,cc.JPG,40.31324926566266,0.2
307.jpg,z.jpg,0.2732432287805556,z.jpg,40.306775122896504,0.2
215.JPG,tt.JPG,0.5158198275723499,tt.JPG,40.314193230965266,0.2
273.JPG,tt.JPG,0.06375420586484393,tt.JPG,40.31082928891974,0.2
226.JPG,kk.JPG,0.40416900520380816,kk.JPG,40.32454817964509,0.2
280.jpg,tt.JPG,0.8610798867417074,tt.JPG,40.30981255861583,0.2
125.jpg,tt.JPG,0.28044602747168057,tt.JPG,40.31268039711504,0.2
294.JPG,tt.JPG,0.29458543326929354,tt.JPG,40.30877134445311,0.2
251.JPG,cc.JPG,0.8958437325794822,cc.JPG,40.308691868957666,0.2
261.JPG,tt.JPG,0.7906611325106973,tt.JPG,40.31246509848836,0.2
290.JPG,z.jpg,0.12042214423336373,z.jpg,40.31190823326329,0.2
37.jpg,u.jpg,0.479501551700554,u.jpg,40.31239552535616,0.2
275.JPG,yy.jpeg,0.9142859685699006,yy.jpeg,40.30299027496619,0.2
143.jpg,z.jpg,0.43160505599447296,z.jpg,40.31299638452618,0.2
292.JPG,tt.JPG,0.01895345405724147,tt.JPG,40.314107551733365,0.2
221.JPG,z.jpg,0.183168996415094,z.jpg,40.30978125337037,0.2
151.jpg,tt.JPG,0.3191105203475245,tt.JPG,40.31160208366354,0.2
136.jpg,z.jpg,0.3406302234352294,z.jpg,40.31024259590117,0.2
183.JPG,hh.JPG,0.8974156775531916,hh.JPG,40.31123904978055,0.2
242.JPG,ll.JPG,0.7471020998620572,ll.JPG,40.313447887977304,0.2
122.jpg,tt.JPG,0.7072004410331507,tt.JPG,40.30593875547104,0.2
271.JPG,z.jpg,0.04226007492937933,z.jpg,40.313776751525296,0.2
302.JPG,cc.JPG,0.563647390433958,cc.JPG,40.31904232107822,0.2
285.JPG,z.jpg,0.38376480601812524,z.jpg,40.31768829348287,0.2
88.jpg,r.jpg,0.13329913871681365,r.jpg,40.31052845545469,0.2
233.JPG,z.jpg,0.4672519087768562,z.jpg,40.31290600491709,0.2
99.jpg,cc.JPG,0.573863584908402,cc.JPG,40.31385873860309,0.2
78.jpg,hh.JPG,0.005746640008880699,hh.JPG,40.30945990963661,0.2
123.jpg,u.jpg,0.48708739287334235,u.jpg,40.31593031240758,0.2
212.JPG,yy.jpeg,0.7304676578005004,yy.jpeg,40.3170183813958,0.2
179.JPG,cc.JPG,0.3060385131006814,cc.JPG,40.30853104843925,0.2
147.jpg,tt.JPG,0.18144391007062433,tt.JPG,40.31327384136408,0.2
224.JPG,tt.JPG,0.5014399575161603,tt.JPG,40.311408256739085,0.2
204.JPG,tt.JPG,0.5913638745356008,tt.JPG,40.30626499814368,0.2
279.jpg,tt.JPG,0.931448575892839,tt.JPG,40.31236699619925,0.2
288.JPG,tt.JPG,0.6922274294345908,tt.JPG,40.31544344250536,0.2
186.JPG,bb.JPG,0.01885036835625853,bb.JPG,40.30556935503206,0.2
79.jpg,z.jpg,0.17387184716537218,z.jpg,40.3113432166401,0.2
21.jpg,m.jpg,0.043479261262385105,m.jpg,40.31002340835672,0.2
286.JPG,z.jpg,0.8118295404679375,z.jpg,40.314549692427285,0.2
65.jpg,z.jpg,0.7318580611117053,z.jpg,40.30929534598171,0.2
56.JPG,z.jpg,0.8218549479907641,z.jpg,40.314798112808255,0.2
158.jpg,tt.JPG,0.1391420455321366,tt.JPG,40.316065102239854,0.2
120.jpg,e.jpg,0.5688230594428654,e.jpg,40.3110664250885,0.2
77.jpg,tt.JPG,0.1208653556070638,tt.JPG,40.316221307936864,0.2
34.jpg,tt.JPG,0.8472692169349987,tt.JPG,40.31546760919872,0.2
282.jpg,tt.JPG,0.879901436390583,tt.JPG,40.314698506293404,0.2
154.jpg,z.jpg,0.8213099901848715,z.jpg,40.313831692926485,0.2
189.JPG,z.jpg,0.057189318462681715,z.jpg,40.31708443864736,0.2
254.JPG,b.jpg,0.37097135183524277,b.jpg,40.307122308696606,0.2
50.JPG,k.JPG,0.021780034112496183,k.JPG,40.3153715112656,0.2
90.jpg,cc.JPG,0.004486961350399388,cc.JPG,40.30764763268921,0.2
250.JPG,c.jpg,0.5147868685772968,c.jpg,40.29571012594855,0.2
86.jpg,z.jpg,0.5181742813182016,z.jpg,40.317273478106635,0.2
102.jpg,cc.JPG,0.23133085124191544,cc.JPG,40.30504284984052,0.2
83.jpg,yy.jpeg,0.3554792576617638,yy.jpeg,40.30123885823715,0.2
106.jpg,z.jpg,0.3014245946998618,z.jpg,40.31512404492957,0.2
312.JPG,e.jpg,0.7521791214581063,e.jpg,40.30690593291415,0.2
193.JPG,tt.JPG,0.7442665911805415,tt.JPG,40.31207399380879,0.2
217.JPG,z.jpg,0.8039808418151663,z.jpg,40.31439813600727,0.2
255.JPG,tt.JPG,0.7406344298251983,tt.JPG,40.31550889157022,0.2
291.JPG,tt.JPG,0.3158682115256837,tt.JPG,40.315785161742525,0.2
144.jpg,z.jpg,0.8385367383779099,z.jpg,40.31263207415346,0.2
309.JPG,cc.JPG,0.25015933890616926,cc.JPG,40.30684487536233,0.2
207.JPG,z.jpg,0.8949548118744368,z.jpg,40.31040739139463,0.2
31.jpg,tt.JPG,0.29553049183439584,tt.JPG,40.31497289087977,0.2
159.jpg,z.jpg,0.26047286779556866,z.jpg,40.304195745956726,0.2
39.jpg,e.jpg,0.011469319187647264,e.jpg,40.31176483122254,0.2
196.JPG,m.jpg,0.9852173113172222,m.jpg,40.30919591705715,0.2
