Test Image,Best Match,Match Percentage,MatchPercentage Class,Threshold
188.JPG,class_4,0.5676512802224147,class_4,0.5
157.jpg,class_4,0.6249458991121022,class_4,0.5
36.jpg,class_4,0.05097171667895206,class_4,0.5
201.JPG,class_5,0.14006983962186992,class_5,0.5
203.JPG,class_5,0.9260597600270584,class_5,0.5
66.jpg,class_4,0.9397270803187572,class_4,0.5
237.JPG,class_1,0.9072609436516583,class_1,0.5
42.JPG,class_1,0.35174285914464376,class_1,0.5
192.JPG,class_5,0.9149899823876858,class_5,0.5
131.jpg,class_4,0.26713835505413164,class_4,0.5
218.JPG,class_5,0.5485940892467821,class_5,0.5
166.jpg,class_5,0.3459099807807251,class_5,0.5
246.JPG,class_3,0.31246295335628793,class_3,0.5
252.JPG,class_3,0.7984913228616908,class_3,0.5
281.jpg,class_4,0.34217668860555517,class_4,0.5
57.JPG,class_5,0.58277286879074,class_5,0.5
240.JPG,class_5,0.09386797196182062,class_5,0.5
60.jpg,class_4,0.32803525708545256,class_4,0.5
2.JPG,class_1,0.5720644165919553,class_1,0.5
12.jpg,class_5,0.9389838246206155,class_5,0.5
190.JPG,class_3,0.33936458900185806,class_3,0.5
200.JPG,class_1,0.8216957580896647,class_1,0.5
150.jpg,class_4,0.46121970454233296,class_4,0.5
272.JPG,class_4,0.38976855931959964,class_4,0.5
98.jpg,class_1,0.6059571789234801,class_1,0.5
20.jpg,class_5,0.07924298999619184,class_5,0.5
293.JPG,class_1,0.6530169510680559,class_1,0.5
265.JPG,class_5,0.2605069046571755,class_5,0.5
194.JPG,class_5,0.8048880438564026,class_5,0.5
70.jpg,class_5,0.07944357731694784,class_5,0.5
32.jpg,class_4,0.11107305654137822,class_4,0.5
138.jpg,class_4,0.8707521423400321,class_4,0.5
103.jpg,class_4,0.3936898690115014,class_4,0.5
58.jpg,class_4,0.9679582601699467,class_4,0.5
205.JPG,class_1,0.6425728755361472,class_1,0.5
228.JPG,class_5,0.6061934782037174,class_5,0.5
46.JPG,class_1,0.15686979417717617,class_1,0.5
33.jpg,class_1,0.35932889442455085,class_1,0.5
91.jpg,class_1,0.04251130422909888,class_1,0.5
25.jpg,class_4,0.927557163167282,class_4,0.5
211.JPG,class_5,0.6011253792270708,class_5,0.5
48.JPG,class_4,0.22903653198578733,class_4,0.5
74.jpg,class_5,0.4264461206955241,class_5,0.5
180.JPG,class_1,0.7456286502501629,class_1,0.5
108.jpg,class_5,0.15492502110658357,class_5,0.5
84.jpg,class_1,0.9203022833078801,class_1,0.5
243.JPG,class_5,0.5722655821959987,class_5,0.5
40.jpg,class_5,0.7014973371598844,class_5,0.5
61.jpg,class_1,0.5589454542123379,class_1,0.5
266.JPG,class_5,0.586961996770623,class_5,0.5
44.JPG,class_1,0.15641730277582633,class_1,0.5
311.JPG,class_5,0.042254391384951684,class_5,0.5
1.JPG,class_1,0.6888839487683476,class_1,0.5
8.jpg,class_4,0.48684498177788726,class_4,0.5
105.jpg,class_4,0.11003973062179229,class_4,0.5
