Image Name,Number of Matches,Matching Percentage,ROI Location
1.JPG,125,25.0,ROI Location
10.jpg,109,21.8,ROI Location
100.jpg,125,25.0,ROI Location
101.jpg,105,21.0,ROI Location
102.jpg,107,21.4,ROI Location
103.jpg,136,27.200000000000003,ROI Location
104.jpg,118,25.321888412017167,ROI Location
105.jpg,104,20.8,ROI Location
106.jpg,132,26.400000000000002,ROI Location
107.jpg,130,26.0,ROI Location
108.jpg,98,19.6,ROI Location
109.jpg,120,24.0,ROI Location
11.jpg,96,19.2,ROI Location
110.jpg,117,23.400000000000002,ROI Location
111.jpg,101,25.06203473945409,ROI Location
112.jpg,88,17.599999999999998,ROI Location
113.jpg,105,21.0,ROI Location
114.jpg,98,19.6,ROI Location
115.jpg,93,18.6,ROI Location
116.jpg,109,21.8,ROI Location
117.jpg,109,21.8,ROI Location
118.jpg,123,24.6,ROI Location
119.jpg,100,20.0,ROI Location
12.jpg,138,27.6,ROI Location
120.jpg,119,23.799999999999997,ROI Location
121.jpg,103,20.599999999999998,ROI Location
122.jpg,121,24.2,ROI Location
123.jpg,108,21.6,ROI Location
124.jpg,107,21.4,ROI Location
125.jpg,94,18.8,ROI Location
126.jpg,104,20.8,ROI Location
127.jpg,104,20.8,ROI Location
128.jpg,88,17.599999999999998,ROI Location
129.jpg,116,23.200000000000003,ROI Location
13.jpg,134,26.8,ROI Location
130.jpg,140,28.000000000000004,ROI Location
131.jpg,102,20.4,ROI Location
132.jpg,136,27.200000000000003,ROI Location
133.jpg,118,23.599999999999998,ROI Location
134.jpg,125,25.0,ROI Location
135.jpg,128,25.6,ROI Location
136.jpg,97,19.400000000000002,ROI Location
137.jpg,131,26.200000000000003,ROI Location
138.jpg,121,24.2,ROI Location
139.jpg,112,22.400000000000002,ROI Location
14.jpg,116,23.200000000000003,ROI Location
140.jpg,96,30.476190476190478,ROI Location
141.jpg,34,53.96825396825397,ROI Location
142.jpg,122,24.4,ROI Location
143.jpg,110,22.0,ROI Location
144.jpg,129,25.8,ROI Location
145.jpg,104,21.57676348547718,ROI Location
146.jpg,112,22.400000000000002,ROI Location
147.jpg,120,24.0,ROI Location
148.jpg,101,20.200000000000003,ROI Location
149.jpg,99,19.8,ROI Location
15.jpg,138,27.6,ROI Location
150.jpg,113,22.6,ROI Location
151.jpg,128,25.6,ROI Location
152.jpg,121,24.2,ROI Location
153.jpg,126,25.2,ROI Location
154.jpg,133,26.6,ROI Location
155.jpg,142,28.4,ROI Location
156.jpg,32,38.55421686746988,ROI Location
157.jpg,110,22.0,ROI Location
158.jpg,7,50.0,ROI Location
159.jpg,139,27.800000000000004,ROI Location
16.jpg,116,23.246492985971944,ROI Location
160.jpg,116,27.684964200477324,ROI Location
161.jpg,123,24.6,ROI Location
162.jpg,147,29.4,ROI Location
163.jpg,111,22.2,ROI Location
164.jpg,100,23.64066193853428,ROI Location
165.jpg,103,20.599999999999998,ROI Location
166.jpg,117,23.400000000000002,ROI Location
167.jpg,41,37.96296296296296,ROI Location
168.jpg,122,24.4,ROI Location
169.jpg,73,14.6,ROI Location
17.jpg,121,24.2,ROI Location
170.jpg,119,23.799999999999997,ROI Location
171.jpg,31,64.58333333333334,ROI Location
172.jpg,84,16.8,ROI Location
173.jpg,106,21.2,ROI Location
174.jpg,55,30.89887640449438,ROI Location
175.jpg,124,24.8,ROI Location
176.jpg,129,25.8,ROI Location
177.jpeg,110,22.0,ROI Location
178.JPG,108,21.6,ROI Location
179.JPG,112,22.400000000000002,ROI Location
18.jpg,126,25.2,ROI Location
180.JPG,50,34.48275862068966,ROI Location
181.JPG,97,19.400000000000002,ROI Location
182.JPG,128,25.6,ROI Location
183.JPG,120,24.0,ROI Location
184.JPG,122,24.4,ROI Location
185.JPG,92,22.772277227722775,ROI Location
186.JPG,96,23.88059701492537,ROI Location
187.JPG,97,20.86021505376344,ROI Location
188.JPG,106,26.903553299492383,ROI Location
189.JPG,115,23.0,ROI Location
19.jpg,112,22.400000000000002,ROI Location
190.JPG,118,23.599999999999998,ROI Location
191.JPG,126,25.2,ROI Location
192.JPG,125,25.0,ROI Location
193.JPG,124,24.8,ROI Location
194.JPG,117,23.400000000000002,ROI Location
195.JPG,125,25.0,ROI Location
196.JPG,127,25.4,ROI Location
